lower,upper,learningtype,input,testmoment,verbtype
51.41,73.42,explicit,yes,T1,critical
52.35,70.9,explicit,no,T1,critical
82.13,88.25,explicit,yes,T1,control
83.3,90.41,explicit,no,T1,control
65.63,87.63,explicit,yes,T2,critical
51.24,71.03,explicit,no,T2,critical
88.85,94.86,explicit,yes,T2,control
83.33,90.78,explicit,no,T2,control
26.29,49.55,incidental,yes,T1,critical
30.38,52.84,incidental,no,T1,critical
89.58,95.83,incidental,yes,T1,control
87.96,94.35,incidental,no,T1,control
41.9,66.48,incidental,yes,T2,critical
29.97,54.09,incidental,no,T2,critical
89.31,95.24,incidental,yes,T2,control
88.93,93.91,incidental,no,T2,control
2.22,9.13,unaware,yes,T1,critical
0,4.17,unaware,no,T1,critical
100,100,unaware,yes,T1,control
94.05,100,unaware,no,T1,control
2.22,12.1,unaware,yes,T2,critical
0,4.61,unaware,no,T2,critical
94.79,100,unaware,yes,T2,control
93.61,98.96,unaware,no,T2,control
51.04,71.38,incidental,yes,T3,critical
50.26,67.86,incidental,no,T3,critical
67.38,83.98,explicit,yes,T3,critical
56.4,74.09,explicit,no,T3,critical
82.17,89.84,incidental,yes,T3,control
85.28,90.48,incidental,no,T3,control
81.1,92.9,explicit,yes,T3,control
80.75,91.75,explicit,no,T3,control
10.97,45.72,unaware,yes,T3,critical
5.56,46.95,unaware,no,T3,critical
63.54,96.88,unaware,yes,T3,control
71.1,95.55,unaware,no,T3,control