participant,learningtype,condition,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount,german_school_years,german_hours_per_week,eveningclasses_years,german_at_uni_years,school_evening_years,PRE_CRIT,PRE_CONTR,crit_input_T1,crit_noinput_T1,contr_input_T1,contr_noinput_T1,crit_input_T2,crit_noinput_T2,contr_input_T2,contr_noinput_T2,crit_input_T3,crit_noinput_T3,contr_input_T3,contr_noinput_T3
pp01,incidental,IMP,66.25,27,v,NL-NL,none,monolingual,2,4,4,4,5,5,4.25,english,french,spanish,3,8,3,0,2,8,25,100,31.25,40,93.75,76.92,68.75,20,93.75,92.31,75,46.67,81.25,76.92
pp02,explicit,EXP,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2,4,2,0,0,4,0,100,37.5,26.67,87.5,80,68.75,33.33,87.5,86.7,50,46.67,87.5,80
pp03,incidental,IMP,73.75,21,m,NL-BE,none,monolingual,3,3,3,4,4,4,3.38,english,french,999,2,3,2,0,2,3,25,100,75,87.5,87.5,75,87.5,87.5,93.75,87.5,87.5,100,93.75,93.75
pp04,incidental,IMP,72.5,22,m,NL-NL,none,monolingual,2,3,3,3,5,5,3.5,english,french,spanish,3,6,2,0,2,6,0,100,56.25,75,93.75,93.75,87.5,56.25,93.75,100,87.5,81.25,93.75,87.5
pp05,incidental,IMP,71.25,21,v,NL-NL,none,monolingual,3,4,4,4,5,5,4.25,english,norwegian,french,3,5,3,0,3,5,25,100,62.5,62.5,87.5,87.5,75,62.5,75,87.5,68.75,68.75,87.5,93.75
pp06,explicit,EXP,58.75,23,v,NL-BE,none,monolingual,2,2,2,1,2,3,2,english,french,999,2,0,0,0.25,0,0.25,0,100,12.5,46.67,80,100,62.5,33.33,93.33,100,56.25,53.33,80,93.33
pp08,explicit,EXP,73.75,19,v,NL-NL,french,bilingual,2,1,1,3,4,5,2.13,french,999,999,1,2,1,0,0.25,2,100,33.33,68.75,75,81.25,80,87.5,87.5,87.5,93.33,93.75,81.25,87.5,93.33
pp09,incidental,IMP,65,22,v,NL-BE,none,monolingual,2,2,2,2,3,4,2.38,english,Spaans,french,3,2,3,0,2,2,0,100,13.33,21.43,93.75,93.33,6.67,14.29,93.75,93.33,20,42.86,81.25,86.67
pp10,explicit,EXP,82.5,24,v,NL-NL,none,monolingual,4,4,4,4,4,4,4,english,Spaans,french,3,7,4,0,3,7,75,100,81.25,93.75,81.25,93.75,93.75,93.75,100,93.75,75,87.5,87.5,100
pp11,incidental,IMP,68.75,20,m,NL-BE,french,bilingual,2,4,3,3,4,4,3.75,english,999,999,1,5,3,0,2,5,100,75,87.5,81.25,81.25,93.75,93.75,93.75,81.25,100,87.5,68.75,81.25,93.75
pp12,incidental,IMP,70,24,v,NL-BE,none,monolingual,5,3,4,3,5,4,3.5,english,french,999,2,3,3,0,0,3,50,75,75,81.25,87.5,87.5,81.25,81.25,100,93.75,81.25,93.75,93.75,87.5
pp13,explicit,EXP,70,18,v,NL-BE,none,monolingual,3,4,4,2,5,5,4,english,french,999,2,3,3,0,1,3,0,100,100,87.5,87.5,87.5,100,87.5,100,93.75,100,100,100,100
pp15,explicit,EXP,68.75,21,v,NL-BE,none,monolingual,3,3,3,2,4,4,3.13,french,english,spanish,3,6,4,0,3,6,75,75,75,81.25,93.75,81.25,93.75,87.5,100,93.75,81.25,87.5,100,87.5
pp16,explicit,EXP,68.75,34,m,NL-BE,french,bilingual,1,3,3,2,4,4,3.13,english,swedish,spanish,3,4,3,0,0,4,0,100,68.75,46.67,86.67,93.75,93.75,40,93.33,93.75,62.5,46.7,100,93.75
pp17,incidental,IMP,72.5,30,v,NL-BE,none,monolingual,2,3,2,3,4,4,3.13,french,english,999,2,3,3,3,0,6,0,100,12.5,50,81.25,93.75,50,62.5,87.5,93.75,56.25,68.75,68.75,81.25
pp18,explicit,EXP,50,18,v,NL-BE,french,bilingual,2,3,2,4,4,4,3.25,spanish,999,999,1,3,2,0,0.25,3,50,100,25,13.33,100,100,6.25,20,100,100,75,66.67,93.33,92.31
pp19,incidental,IMP,67.5,27,m,NL-BE,none,monolingual,1,4,4,3,4,4,3.88,english,french,999,2,2,1,0,0.08,2,33.33,100,6.67,13.33,100,87.5,13.33,20,93.75,93.75,33.33,40,100,87.5
pp20,explicit,EXP,56.25,20,v,NL-BE,none,monolingual,2,4,4,2,4,4,3.75,Italiaans,french,english,3,3,3,0,1,3,0,100,43.75,53.33,93.75,93.75,68.75,46.67,100,75,50,26.67,100,93.75
pp21,incidental,IMP,70,19,v,NL-BE,none,monolingual,4,3,4,3,3,4,3.25,english,french,999,2,0,0,0,1,0,0,100,18.75,25,100,100,31.25,31.25,100,100,93.75,75,81.25,81.25
pp22,explicit,EXP,70,25,v,NL-BE,none,monolingual,1,3,3,2,4,4,3.13,french,english,spanish,3,3,3,0,2,3,25,100,81.25,62.5,75,86.67,93.75,62.5,100,86.67,87.5,68.75,87.5,86.67
pp23,explicit,EXP,57.5,30,m,NL-BE,french,bilingual,1,2,1,2,2,3,2,english,spanish,999,2,0,0,4,0,4,50,66.67,75,60,81.25,73.33,93.75,60,87.5,73.33,93.75,60,93.75,73.33
pp24,unaware,IMP,73.75,27,m,NL-BE,none,monolingual,1,3,3,2,3,4,3,english,french,spanish,3,2,3,2,0,4,0,100,7.14,0,100,100,0,0,100,93.75,21.43,6.67,100,93.75
pp26,explicit,EXP,73.75,25,v,NL-BE,none,monolingual,3,3,3,2,4,4,3.13,english,french,999,2,0,0,3,0,3,0,75,81.25,81.25,80,87.5,81.25,81.25,86.67,87.5,87.5,87.5,86.67,87.5
pp27,incidental,IMP,58.75,22,v,NL-BE,none,monolingual,1,3,3,3,4,4,3.25,french,english,999,2,3,2,0.25,0,3.25,50,100,43.75,37.5,100,100,56.25,37.5,100,87.5,62.5,50,93.75,93.75
pp28,explicit,EXP,62.5,22,v,NL-BE,none,monolingual,1,4,2,4,5,5,4,french,english,999,2,3,3,0,4,3,25,100,93.75,93.75,81.25,81.25,100,87.5,87.5,87.5,93.75,87.5,93.75,81.25
pp29,explicit,EXP,65,25,m,NL-BE,portuguese,bilingual,1,2,2,2,3,2,2.13,portuguese,french,english,3,3,2,0,0,3,0,100,18.18,40,84.62,86.67,27.27,20,84.62,80,36.36,20,84.62,66.67
pp30,incidental,IMP,53.75,29,m,NL-NL,none,monolingual,1,2,2,3,3,4,2.5,english,999,999,1,6,4.5,0,0,6,0,100,14.29,0,93.75,100,21.43,7.14,87.5,85.71,21.43,7.14,87.5,100
pp31,explicit,EXP,76.25,19,v,NL-BE,french,bilingual,3,3,4,3,4,3,3.25,english,999,999,1,3,3,0,1,3,66.67,66.67,93.75,78.57,87.5,81.25,93.75,85.71,93.75,68.75,93.75,85.71,81.25,100
pp32,unaware,IMP,72.5,18,m,NL-BE,none,monolingual,1,2,2,2,4,4,2.5,french,english,999,2,3,2,0,0.08,3,0,100,0,0,100,100,0,0,100,100,0,0,100,100
pp36,incidental,IMP,51.25,19,v,NL-BE,french,bilingual,1,2,2,2,3,3,2.25,french,english,spanish,3,3,3.5,0,0.08,3,0,100,38.46,35.71,87.5,100,61.54,28.57,87.5,90.91,53.85,42.86,75,90.91
pp37,explicit,EXP,55,19,m,NL-NL,none,monolingual,1,3,3,2,4,4,3.13,english,french,999,2,2,2,0,0.08,2,0,100,23.08,35.71,86.67,92.86,53.85,42.86,86.67,92.86,46.15,50,73.33,78.57
pp38,unaware,IMP,63.75,17,v,NL-BE,none,monolingual,1,1,1,1,4,2,1.5,french,english,arabic,3,3,1,0,0,3,0,100,6.67,0,100,100,6.67,0,100,100,13.33,16.67,100,93.33
pp40,explicit,EXP,56.25,18,v,NL-BE,none,monolingual,3,3,3,3,4,3,3.13,english,french,999,2,3,2,0,0.08,3,33.33,100,68.75,81.25,73.33,87.5,93.75,87.5,73.33,87.5,81.25,75,73.33,75
pp41,unaware,IMP,60,18,v,NL-BE,none,monolingual,2,3,3,3,5,5,3.5,korean,spanish,english,3,3,2,0,0.08,3,0,100,7.14,12.5,100,100,14.29,6.25,93.75,93.33,64.29,68.75,56.25,60
pp42,explicit,EXP,68.75,27,v,NL-BE,none,monolingual,1,1,1,1,3,3,1.5,french,english,spanish,3,3,2,0,0,3,33.33,100,57.14,57.14,92.86,92.86,92.86,50,100,92.86,85.71,64.29,92.86,92.86
pp43,explicit,EXP,72.5,24,v,NL-NL,none,monolingual,2,2,2,2,4,4,2.5,english,french,999,2,0,0,0,0.08,0,0,75,75,68.75,93.75,100,68.75,68.75,93.75,93.75,75,75,93.75,93.75
pp44,explicit,EXP,65,27,v,NL-NL,none,monolingual,1,3,2,2,3,4,2.88,french,english,Spaans,3,2,1,0.25,0,2.25,25,100,87.5,68.75,87.5,80,100,56.25,93.75,80,81.25,50,81.25,86.67
pp45,incidental,IMP,58.75,37,v,NL-NL,none,monolingual,3,3,3,5,4,5,3.63,french,english,swedish,3,4,4,1,3,5,100,75,75,56.25,87.5,81.25,87.5,68.75,87.5,81.25,93.75,81.25,93.75,93.75
pp46,unaware,IMP,61.25,20,v,NL-BE,none,monolingual,1,1,1,1,3,3,1.5,french,english,999,2,3,1.5,0,0,3,0,66.67,0,0,100,100,12.5,0,100,100,12.5,0,100,93.33
pp47,incidental,IMP,62.5,23,v,NL-BE,none,monolingual,2,3,2,2,4,4,3,chinese,french,english,3,3,3,0,0,3,0,100,14.29,35.71,100,85.71,50,28.57,92.31,78.57,42.86,42.86,92.31,92.86
pp48,incidental,IMP,65,32,m,NL-BE,none,monolingual,2,2,3,2,4,4,2.63,english,french,999,2,0,0,0.25,0,0.25,0,100,12.5,12.5,100,93.75,25,12.5,100,93.75,43.75,50,81.25,81.25
pp49,incidental,IMP,63.75,23,m,NL-BE,none,monolingual,2,2,2,2,3,3,2.25,french,english,999,2,3,3,0,0,3,25,66.67,46.67,40,81.25,87.5,73.33,46.67,87.5,87.5,60,46.67,93.75,87.5
pp50,incidental,IMP,68.75,19,v,NL-BE,none,monolingual,1,2,2,1,2,2,1.88,english,french,999,2,3,1,0,0,3,0,100,0,8.33,100,90,10,0,90.91,90,50,50,81.82,80
pp51,incidental,IMP,57.5,33,v,NL-BE,tamazight,bilingual,2,3,3,2,4,4,3.13,spanish,english,turkish,3,3,4,0,3,3,0,75,18.75,46.67,100,100,43.75,53.33,100,93.75,37.5,66.67,81.25,93.75
pp52,unaware,IMP,67.5,26,v,NL-BE,none,monolingual,1,3,3,3,4,4,3.25,english,french,999,2,3,3,0,0,3,0,100,13.33,0,100,92.86,13.33,7.14,100,92.86,46.67,35.71,81.25,92.86
pp53,incidental,IMP,65,28,m,NL-NL,none,monolingual,2,2,2,1,3,4,2.25,english,french,999,2,3,3,0,0,3,0,100,6.67,0,100,100,33.33,0,100,100,40,46.67,68.75,81.25
pp54,incidental,IMP,71.25,22,m,NL-BE,none,monolingual,3,4,4,2,4,4,3.75,english,french,999,2,3,1,0,0,3,25,100,68.75,56.25,100,93.75,93.75,62.5,100,93.75,93.75,75,100,81.25
pp55,explicit,EXP,63.75,25,v,NL-BE,french,bilingual,1,2,1,2,2,3,2,english,999,999,1,2,2,0,2,2,100,100,66.67,60,71.43,68.75,93.33,60,85.71,75,93.33,66.67,78.57,56.25